#CHROM	FROM	TO	RLC_tag
MTB_anc	24720	24738	!RLC
MTB_anc	39029	39030	!RLC
MTB_anc	55548	55647	!RLC
MTB_anc	71464	71584	!RLC
MTB_anc	79569	83035	!RLC
MTB_anc	86778	86779	!RLC
MTB_anc	86780	86782	!RLC
MTB_anc	103749	104811	!RLC
MTB_anc	104813	104962	!RLC
MTB_anc	131928	131979	!RLC
MTB_anc	131980	131982	!RLC
MTB_anc	131992	131993	!RLC
MTB_anc	132077	132079	!RLC
MTB_anc	132159	132189	!RLC
MTB_anc	132518	132684	!RLC
MTB_anc	149499	149526	!RLC
MTB_anc	149911	150890	!RLC
MTB_anc	154138	154186	!RLC
MTB_anc	154191	154239	!RLC
MTB_anc	171456	171457	!RLC
MTB_anc	171778	171779	!RLC
MTB_anc	192336	192398	!RLC
MTB_anc	198936	199007	!RLC
MTB_anc	206494	206519	!RLC
MTB_anc	234446	234492	!RLC
MTB_anc	279558	279560	!RLC
MTB_anc	308321	308413	!RLC
MTB_anc	333436	336310	!RLC
MTB_anc	336379	336380	!RLC
MTB_anc	336399	336400	!RLC
MTB_anc	336402	336403	!RLC
MTB_anc	336404	336405	!RLC
MTB_anc	336496	336497	!RLC
MTB_anc	336503	336504	!RLC
MTB_anc	336534	336535	!RLC
MTB_anc	336536	336537	!RLC
MTB_anc	336539	336540	!RLC
MTB_anc	336545	336546	!RLC
MTB_anc	336552	337173	!RLC
MTB_anc	337265	337381	!RLC
MTB_anc	337714	338963	!RLC
MTB_anc	338983	338998	!RLC
MTB_anc	340429	340470	!RLC
MTB_anc	340472	340484	!RLC
MTB_anc	361798	361800	!RLC
MTB_anc	361806	361814	!RLC
MTB_anc	361815	361973	!RLC
MTB_anc	361987	362010	!RLC
MTB_anc	362620	362748	!RLC
MTB_anc	362751	362764	!RLC
MTB_anc	362769	362916	!RLC
MTB_anc	362960	363020	!RLC
MTB_anc	366149	372764	!RLC
MTB_anc	373295	373333	!RLC
MTB_anc	374840	374842	!RLC
MTB_anc	400362	401474	!RLC
MTB_anc	401483	401494	!RLC
MTB_anc	410552	410570	!RLC
MTB_anc	425240	425254	!RLC
MTB_anc	425293	425353	!RLC
MTB_anc	426581	426592	!RLC
MTB_anc	426619	426628	!RLC
MTB_anc	426648	426680	!RLC
MTB_anc	426775	426785	!RLC
MTB_anc	426942	426967	!RLC
