#CHROM	FROM	TO	IEDB_tag
MTB_anc	5441	5470	!IEDBMHC1,231
MTB_anc	6005	6031	!IEDBMHC1,95
MTB_anc	6878	6904	!IEDBMHC1,136
MTB_anc	6878	6907	!IEDBMHC1,137
MTB_anc	13271	13318	!IEDBvargas2021
MTB_anc	13511	13549	!IEDBvargas2021
MTB_anc	13511	13555	!IEDBvargas2021
MTB_anc	14101	14130	!IEDBvargas2021
MTB_anc	14230	14274	!IEDBMHC2,1088
MTB_anc	14230	14277	!IEDBvargas2021
MTB_anc	14233	14277	!IEDBMHC2,9
MTB_anc	17671	17772	!IEDBvargas2021
MTB_anc	17686	17712	!IEDBMHC1,458
MTB_anc	17692	17718	!IEDBMHC1,459
MTB_anc	17722	17748	!IEDBMHC1,460
MTB_anc	133284	133328	!IEDBMHC2,718
MTB_anc	151184	151210	!IEDBMHC1,240
MTB_anc	151187	151216	!IEDBMHC1,143
MTB_anc	151193	151237	!IEDBvargas2021
MTB_anc	151313	151357	!IEDBMHC2,1006
MTB_anc	151328	151372	!IEDBMHC2,1001
MTB_anc	151388	151417	!IEDBMHC1,80
MTB_anc	151796	151837	!IEDBvargas2021
MTB_anc	156626	156652	!IEDBMHC1,22
MTB_anc	156851	156895	!IEDBMHC2,770
MTB_anc	156965	156991	!IEDBMHC1,243
MTB_anc	157157	157201	!IEDBMHC2,835
MTB_anc	157166	157192	!IEDBMHC1,255
MTB_anc	157379	157420	!IEDBMHC2,364
MTB_anc	157385	157429	!IEDBMHC2,919
MTB_anc	188057	188101	!IEDBMHC2,801
MTB_anc	223640	223682	!IEDBvargas2021
MTB_anc	236292	236339	!IEDBvargas2021
MTB_anc	265543	265593	!IEDBvargas2021
MTB_anc	265555	265614	!IEDBvargas2021
MTB_anc	266014	266040	!IEDBMHC1,299
MTB_anc	266182	266235	!IEDBvargas2021
MTB_anc	308138	308182	!IEDBvargas2021
MTB_anc	309074	309118	!IEDBMHC2,734
MTB_anc	309278	309322	!IEDBMHC2,872
MTB_anc	335969	336013	!IEDBMHC2,769
MTB_anc	339718	339762	!IEDBMHC2,841
MTB_anc	347438	347464	!IEDBMHC2,245
MTB_anc	350040	350084	!IEDBMHC2,914
MTB_anc	350292	350336	!IEDBMHC2,848
MTB_anc	351669	351713	!IEDBvargas2021
MTB_anc	351681	351707	!IEDBMHC1,3
MTB_anc	351723	351776	!IEDBvargas2021
MTB_anc	351759	351803	!IEDBvargas2021
MTB_anc	351786	351815	!IEDBMHC1,510
MTB_anc	351848	351892	!IEDBMHC2,998
MTB_anc	351848	351901	!IEDBMHC2,282
MTB_anc	351857	351883	!IEDBMHC1,110
MTB_anc	351857	351901	!IEDBMHC2,489
MTB_anc	351860	351886	!IEDBMHC1,294
MTB_anc	351863	351907	!IEDBMHC2,1009
MTB_anc	351875	351901	!IEDBMHC1,286
MTB_anc	351878	351904	!IEDBMHC1,292
MTB_anc	351878	351922	!IEDBvargas2021
MTB_anc	351878	351931	!IEDBMHC2,277
MTB_anc	351908	351952	!IEDBMHC2,1008
MTB_anc	351908	351961	!IEDBMHC2,446
MTB_anc	351920	351964	!IEDBMHC2,250
MTB_anc	351938	351991	!IEDBMHC2,112
MTB_anc	351953	351997	!IEDBMHC2,1002
MTB_anc	351968	352012	!IEDBMHC2,1003
MTB_anc	351968	352021	!IEDBMHC2,365
MTB_anc	351983	352027	!IEDBvargas2021
MTB_anc	351995	352021	!IEDBMHC1,296
MTB_anc	351998	352042	!IEDBvargas2021
MTB_anc	351998	352051	!IEDBMHC2,457
MTB_anc	352013	352057	!IEDBvargas2021
MTB_anc	352025	352051	!IEDBMHC1,295
MTB_anc	352028	352054	!IEDBMHC1,285
MTB_anc	352028	352072	!IEDBvargas2021
MTB_anc	352028	352081	!IEDBMHC2,53
MTB_anc	352034	352078	!IEDBMHC2,781
MTB_anc	352037	352081	!IEDBMHC2,1082
MTB_anc	352040	352066	!IEDBMHC1,290
MTB_anc	352043	352087	!IEDBMHC2,1007
MTB_anc	352055	352081	!IEDBMHC1,289
MTB_anc	352058	352111	!IEDBMHC2,54
MTB_anc	352067	352111	!IEDBvargas2021
MTB_anc	352070	352096	!IEDBMHC1,219
MTB_anc	352073	352117	!IEDBMHC2,996
MTB_anc	352079	352105	!IEDBMHC1,288
MTB_anc	352088	352114	!IEDBMHC1,291
MTB_anc	352088	352132	!IEDBvargas2021
MTB_anc	352088	352135	!IEDBMHC2,270
MTB_anc	352091	352117	!IEDBMHC1,287
MTB_anc	352091	352135	!IEDBvargas2021
MTB_anc	352094	352120	!IEDBMHC1,293
MTB_anc	352389	352433	!IEDBMHC2,773
MTB_anc	352503	352547	!IEDBMHC2,833
MTB_anc	352701	352745	!IEDBMHC2,805
MTB_anc	353725	353769	!IEDBMHC2,677
MTB_anc	353839	353883	!IEDBMHC2,675
MTB_anc	353932	353976	!IEDBMHC2,915
MTB_anc	354148	354192	!IEDBvargas2021
MTB_anc	354448	354492	!IEDBMHC2,860
MTB_anc	354942	354986	!IEDBMHC2,682
MTB_anc	355167	355211	!IEDBvargas2021
MTB_anc	355587	355631	!IEDBMHC2,738
MTB_anc	355809	355853	!IEDBMHC2,714
MTB_anc	356075	356119	!IEDBMHC2,705
MTB_anc	356396	356440	!IEDBMHC2,789
MTB_anc	356871	356915	!IEDBMHC2,874
MTB_anc	356922	356966	!IEDBMHC2,921
MTB_anc	357030	357074	!IEDBMHC2,883
MTB_anc	357309	357353	!IEDBMHC2,726
MTB_anc	358171	358215	!IEDBMHC2,899
MTB_anc	358612	358656	!IEDBMHC2,708
MTB_anc	358810	358854	!IEDBMHC2,759
MTB_anc	358885	358929	!IEDBMHC2,7
MTB_anc	358885	358929	!IEDBvargas2021
MTB_anc	359080	359124	!IEDBMHC2,3
MTB_anc	361571	361615	!IEDBMHC2,892
MTB_anc	363432	363476	!IEDBMHC2,749
MTB_anc	363515	363559	!IEDBMHC2,786
MTB_anc	363605	363649	!IEDBMHC2,930
MTB_anc	375349	375393	!IEDBMHC2,1125
MTB_anc	378396	378455	!IEDBvargas2021
MTB_anc	405971	406015	!IEDBMHC2,795
MTB_anc	409458	409487	!IEDBMHC1,88
MTB_anc	409458	409493	!IEDBMHC1,89
MTB_anc	409458	409496	!IEDBMHC1,90
MTB_anc	413327	413356	!IEDBMHC1,537
MTB_anc	419835	419861	!IEDBMHC2,490
MTB_anc	419835	419894	!IEDBMHC2,272
MTB_anc	419880	419939	!IEDBMHC2,1063
MTB_anc	419925	419984	!IEDBMHC2,1035
MTB_anc	419970	420029	!IEDBMHC2,1040
MTB_anc	420015	420074	!IEDBMHC2,1051
MTB_anc	420048	420107	!IEDBMHC2,1043
MTB_anc	420093	420152	!IEDBMHC2,1055
MTB_anc	420138	420197	!IEDBMHC2,1030
MTB_anc	420183	420242	!IEDBMHC2,1058
MTB_anc	420228	420287	!IEDBMHC2,1031
MTB_anc	420255	420299	!IEDBMHC2,993
MTB_anc	420273	420332	!IEDBMHC2,1037
MTB_anc	420318	420377	!IEDBMHC2,1047
MTB_anc	420363	420422	!IEDBMHC2,1034
MTB_anc	420369	420395	!IEDBMHC1,210
MTB_anc	420369	420398	!IEDBMHC1,211
MTB_anc	420408	420467	!IEDBMHC2,1029
MTB_anc	420453	420512	!IEDBMHC2,1053
MTB_anc	420498	420557	!IEDBMHC2,1044
MTB_anc	420543	420602	!IEDBMHC2,1027
MTB_anc	420558	420617	!IEDBMHC2,1049
MTB_anc	420603	420662	!IEDBMHC2,1064
MTB_anc	420618	420662	!IEDBMHC2,687
MTB_anc	420648	420707	!IEDBMHC2,1052
MTB_anc	420693	420752	!IEDBMHC2,1033
MTB_anc	420738	420797	!IEDBMHC2,1046
MTB_anc	420783	420842	!IEDBMHC2,1056
MTB_anc	420786	420812	!IEDBMHC1,195
MTB_anc	420828	420887	!IEDBMHC2,1042
MTB_anc	420873	420932	!IEDBMHC2,1059
MTB_anc	420912	420971	!IEDBMHC2,1060
MTB_anc	420921	420947	!IEDBMHC1,232
MTB_anc	420924	420953	!IEDBMHC1,139
MTB_anc	420957	421016	!IEDBMHC2,1045
MTB_anc	421002	421061	!IEDBMHC2,1057
MTB_anc	421047	421106	!IEDBMHC2,1032
MTB_anc	421092	421151	!IEDBMHC2,1036
MTB_anc	421113	421142	!IEDBMHC1,138
MTB_anc	421137	421196	!IEDBMHC2,1041
MTB_anc	421182	421241	!IEDBMHC2,1038
MTB_anc	421227	421286	!IEDBMHC2,1048
MTB_anc	421269	421328	!IEDBMHC2,1054
MTB_anc	421359	421418	!IEDBMHC2,1062
MTB_anc	421404	421463	!IEDBMHC2,1061
MTB_anc	421494	421553	!IEDBMHC2,1028
MTB_anc	421539	421598	!IEDBMHC2,1050
MTB_anc	421629	421688	!IEDBMHC2,1039
MTB_anc	448304	448348	!IEDBMHC2,739
MTB_anc	448825	448869	!IEDBMHC2,767
MTB_anc	503496	503528	!IEDBvargas2021
MTB_anc	503520	503585	!IEDBvargas2021
MTB_anc	504144	504215	!IEDBvargas2021
MTB_anc	504627	504689	!IEDBvargas2021
MTB_anc	519151	519177	!IEDBMHC1,135
MTB_anc	528608	528634	!IEDBMHC2,265
MTB_anc	528608	528646	!IEDBMHC2,266
MTB_anc	528608	528652	!IEDBMHC2,267
MTB_anc	528608	528667	!IEDBMHC2,268
MTB_anc	528614	528646	!IEDBMHC2,219
MTB_anc	528638	528691	!IEDBMHC2,466
MTB_anc	528788	528832	!IEDBMHC2,234
MTB_anc	528800	528862	!IEDBMHC2,451
MTB_anc	528803	528844	!IEDBMHC2,467
MTB_anc	528878	528922	!IEDBMHC1,31,!IEDBMHC2,72
MTB_anc	528947	528997	!IEDBMHC2,468
MTB_anc	529028	529072	!IEDBMHC2,117
MTB_anc	529058	529102	!IEDBMHC2,35
MTB_anc	529067	529123	!IEDBMHC2,471
MTB_anc	529145	529171	!IEDBMHC2,394
MTB_anc	529145	529195	!IEDBMHC2,395
MTB_anc	529208	529252	!IEDBMHC2,453
MTB_anc	529238	529282	!IEDBMHC2,74
MTB_anc	529250	529294	!IEDBMHC2,984
MTB_anc	529253	529297	!IEDBMHC2,323
MTB_anc	529262	529306	!IEDBMHC2,244
MTB_anc	529298	529342	!IEDBMHC2,243
MTB_anc	529328	529372	!IEDBMHC2,41
