#CHROM	FROM	TO	Mappability
MTB_anc	51	23174	1
MTB_anc	23174	23175	0.99
MTB_anc	23175	23176	0.98
MTB_anc	23176	23177	0.97
MTB_anc	23177	23178	0.95
MTB_anc	23178	23179	0.94
MTB_anc	23179	23180	0.93
MTB_anc	23180	23181	0.92
MTB_anc	23181	23182	0.91
MTB_anc	23182	23183	0.9
MTB_anc	23183	23184	0.89
MTB_anc	23184	23185	0.87
MTB_anc	23185	23186	0.86
MTB_anc	23186	23187	0.85
MTB_anc	23187	23188	0.83
MTB_anc	23188	23189	0.82
MTB_anc	23189	23224	0.81
MTB_anc	23224	23225	0.82
MTB_anc	23225	23226	0.83
MTB_anc	23226	23227	0.85
MTB_anc	23227	23228	0.86
MTB_anc	23228	23229	0.87
MTB_anc	23229	23230	0.88
MTB_anc	23230	23231	0.89
MTB_anc	23231	23232	0.9
MTB_anc	23232	23233	0.91
MTB_anc	23233	23234	0.93
MTB_anc	23234	23235	0.94
MTB_anc	23235	23236	0.95
MTB_anc	23236	23237	0.97
MTB_anc	23237	23238	0.98
MTB_anc	23238	23239	0.99
MTB_anc	23239	79500	1
MTB_anc	79500	79501	0.99
MTB_anc	79501	79502	0.98
MTB_anc	79502	79504	0.97
MTB_anc	79504	79505	0.96
MTB_anc	79505	79506	0.95
MTB_anc	79506	79507	0.94
MTB_anc	79507	79508	0.93
MTB_anc	79508	79509	0.92
MTB_anc	79509	79510	0.91
MTB_anc	79510	79511	0.89
MTB_anc	79511	79512	0.88
MTB_anc	79512	79513	0.87
MTB_anc	79513	79514	0.86
MTB_anc	79514	79515	0.84
MTB_anc	79515	79516	0.83
MTB_anc	79516	79517	0.82
MTB_anc	79517	79518	0.81
MTB_anc	79518	79519	0.8
MTB_anc	79519	79520	0.79
MTB_anc	79520	79521	0.78
MTB_anc	79521	79522	0.77
MTB_anc	79522	79523	0.76
MTB_anc	79523	79524	0.75
MTB_anc	79524	79525	0.74
MTB_anc	79525	79550	0.73
MTB_anc	79550	79551	0.74
MTB_anc	79551	79552	0.75
MTB_anc	79552	79554	0.76
MTB_anc	79554	79555	0.77
MTB_anc	79555	79556	0.78
MTB_anc	79556	79557	0.79
MTB_anc	79557	79558	0.8
MTB_anc	79558	79559	0.81
MTB_anc	79559	79560	0.82
MTB_anc	79560	79561	0.83
MTB_anc	79561	79562	0.85
MTB_anc	79562	79563	0.86
MTB_anc	79563	79564	0.87
MTB_anc	79564	79565	0.88
MTB_anc	79565	79566	0.9
MTB_anc	79566	79567	0.91
MTB_anc	79567	79568	0.92
MTB_anc	79568	79569	0.93
MTB_anc	79569	79570	0.94
MTB_anc	79570	79571	0.95
MTB_anc	79571	79572	0.96
MTB_anc	79572	79573	0.97
MTB_anc	79573	79574	0.98
MTB_anc	79574	79575	0.99
MTB_anc	79575	80182	1
MTB_anc	80182	80183	0.99
MTB_anc	80183	80184	0.98
MTB_anc	80184	80185	0.97
MTB_anc	80185	80186	0.96
MTB_anc	80186	80187	0.95
MTB_anc	80187	80188	0.94
MTB_anc	80188	80189	0.93
MTB_anc	80189	80190	0.92
MTB_anc	80190	80191	0.91
MTB_anc	80191	80192	0.9
MTB_anc	80192	80193	0.89
MTB_anc	80193	80194	0.88
MTB_anc	80194	80195	0.87
MTB_anc	80195	80196	0.86
MTB_anc	80196	80197	0.85
MTB_anc	80197	80198	0.84
MTB_anc	80198	80199	0.83
MTB_anc	80199	80200	0.82
MTB_anc	80200	80201	0.81
MTB_anc	80201	80202	0.8
MTB_anc	80202	80203	0.79
MTB_anc	80203	80204	0.78
MTB_anc	80204	80205	0.77
MTB_anc	80205	80206	0.76
MTB_anc	80206	80207	0.75
MTB_anc	80207	80208	0.74
MTB_anc	80208	80209	0.73
MTB_anc	80209	80210	0.72
MTB_anc	80210	80211	0.71
MTB_anc	80211	80212	0.7
MTB_anc	80212	80213	0.69
MTB_anc	80213	80214	0.68
MTB_anc	80214	80215	0.67
MTB_anc	80215	80216	0.66
MTB_anc	80216	80217	0.65
MTB_anc	80217	80218	0.64
MTB_anc	80218	80219	0.63
MTB_anc	80219	80220	0.62
MTB_anc	80220	80221	0.61
MTB_anc	80221	80222	0.6
MTB_anc	80222	80223	0.59
MTB_anc	80223	80224	0.58
MTB_anc	80224	80225	0.57
MTB_anc	80225	80226	0.56
MTB_anc	80226	80227	0.55
MTB_anc	80227	80228	0.54
MTB_anc	80228	80229	0.53
MTB_anc	80229	80230	0.52
MTB_anc	80230	80231	0.51
MTB_anc	80231	80332	0.5
MTB_anc	80332	80333	0.51
MTB_anc	80333	80334	0.52
MTB_anc	80334	80335	0.53
MTB_anc	80335	80336	0.54
MTB_anc	80336	80337	0.55
MTB_anc	80337	80338	0.56
MTB_anc	80338	80339	0.57
MTB_anc	80339	80340	0.58
MTB_anc	80340	80341	0.59
MTB_anc	80341	80342	0.6
MTB_anc	80342	80343	0.61
MTB_anc	80343	80344	0.62
MTB_anc	80344	80345	0.63
MTB_anc	80345	80346	0.64
MTB_anc	80346	80347	0.65
MTB_anc	80347	80348	0.66
MTB_anc	80348	80349	0.67
MTB_anc	80349	80350	0.68
MTB_anc	80350	80351	0.69
MTB_anc	80351	80352	0.7
MTB_anc	80352	80353	0.71
MTB_anc	80353	80354	0.72
MTB_anc	80354	80355	0.73
MTB_anc	80355	80356	0.74
MTB_anc	80356	80357	0.75
MTB_anc	80357	80358	0.76
MTB_anc	80358	80359	0.77
MTB_anc	80359	80360	0.78
MTB_anc	80360	80361	0.79
MTB_anc	80361	80362	0.8
MTB_anc	80362	80363	0.81
MTB_anc	80363	80364	0.82
MTB_anc	80364	80365	0.83
MTB_anc	80365	80366	0.84
MTB_anc	80366	80367	0.85
MTB_anc	80367	80368	0.86
MTB_anc	80368	80369	0.87
MTB_anc	80369	80370	0.88
MTB_anc	80370	80371	0.89
MTB_anc	80371	80372	0.9
MTB_anc	80372	80373	0.91
MTB_anc	80373	80374	0.92
MTB_anc	80374	80375	0.93
MTB_anc	80375	80376	0.94
MTB_anc	80376	80377	0.95
MTB_anc	80377	80378	0.96
MTB_anc	80378	80379	0.97
MTB_anc	80379	80380	0.98
MTB_anc	80380	80381	0.99
MTB_anc	80381	80460	1
MTB_anc	80460	80461	0.99
MTB_anc	80461	80462	0.98
MTB_anc	80462	80463	0.97
MTB_anc	80463	80464	0.96
MTB_anc	80464	80465	0.95
MTB_anc	80465	80466	0.94
MTB_anc	80466	80467	0.93
MTB_anc	80467	80468	0.92
MTB_anc	80468	80469	0.91
MTB_anc	80469	80510	0.9
MTB_anc	80510	80511	0.91
MTB_anc	80511	80512	0.92
MTB_anc	80512	80513	0.93
MTB_anc	80513	80514	0.94
MTB_anc	80514	80515	0.95
MTB_anc	80515	80516	0.96
MTB_anc	80516	80517	0.97
MTB_anc	80517	80518	0.98
MTB_anc	80518	80519	0.99
MTB_anc	80519	82167	1
MTB_anc	82167	82168	0.99
MTB_anc	82168	82169	0.98
MTB_anc	82169	82170	0.97
MTB_anc	82170	82171	0.96
MTB_anc	82171	82172	0.95
MTB_anc	82172	82173	0.94
MTB_anc	82173	82174	0.93
MTB_anc	82174	82175	0.92
MTB_anc	82175	82176	0.91
MTB_anc	82176	82177	0.9
MTB_anc	82177	82178	0.89
MTB_anc	82178	82179	0.88
MTB_anc	82179	82180	0.87
MTB_anc	82180	82181	0.86
MTB_anc	82181	82182	0.85
MTB_anc	82182	82183	0.84
MTB_anc	82183	82184	0.83
MTB_anc	82184	82185	0.82
MTB_anc	82185	82186	0.81
MTB_anc	82186	82187	0.8
MTB_anc	82187	82188	0.79
MTB_anc	82188	82189	0.78
MTB_anc	82189	82217	0.77
MTB_anc	82217	82218	0.78
MTB_anc	82218	82219	0.79
MTB_anc	82219	82220	0.8
MTB_anc	82220	82221	0.81
MTB_anc	82221	82222	0.82
MTB_anc	82222	82223	0.83
MTB_anc	82223	82224	0.84
MTB_anc	82224	82225	0.85
MTB_anc	82225	82226	0.86
MTB_anc	82226	82227	0.87
MTB_anc	82227	82228	0.88
MTB_anc	82228	82229	0.89
MTB_anc	82229	82230	0.9
MTB_anc	82230	82231	0.91
MTB_anc	82231	82232	0.92
MTB_anc	82232	82233	0.93
MTB_anc	82233	82234	0.94
MTB_anc	82234	82235	0.95
MTB_anc	82235	82236	0.96
MTB_anc	82236	82237	0.97
MTB_anc	82237	82238	0.98
MTB_anc	82238	82239	0.99
MTB_anc	82239	82373	1
MTB_anc	82373	82374	0.99
MTB_anc	82374	82375	0.98
MTB_anc	82375	82376	0.97
MTB_anc	82376	82377	0.96
MTB_anc	82377	82378	0.95
MTB_anc	82378	82379	0.94
MTB_anc	82379	82399	0.93
MTB_anc	82399	82400	0.92
MTB_anc	82400	82401	0.91
MTB_anc	82401	82402	0.9
MTB_anc	82402	82403	0.89
MTB_anc	82403	82404	0.88
MTB_anc	82404	82405	0.87
MTB_anc	82405	82406	0.86
MTB_anc	82406	82407	0.85
MTB_anc	82407	82408	0.84
MTB_anc	82408	82409	0.83
MTB_anc	82409	82410	0.82
MTB_anc	82410	82411	0.81
MTB_anc	82411	82412	0.8
MTB_anc	82412	82413	0.79
MTB_anc	82413	82414	0.78
MTB_anc	82414	82415	0.77
MTB_anc	82415	82416	0.76
MTB_anc	82416	82417	0.75
MTB_anc	82417	82418	0.74
MTB_anc	82418	82419	0.73
MTB_anc	82419	82420	0.72
MTB_anc	82420	82421	0.71
MTB_anc	82421	82422	0.7
MTB_anc	82422	82430	0.69
MTB_anc	82430	82431	0.68
MTB_anc	82431	82432	0.67
MTB_anc	82432	82433	0.66
MTB_anc	82433	82434	0.65
MTB_anc	82434	82435	0.64
MTB_anc	82435	82436	0.63
MTB_anc	82436	82437	0.62
MTB_anc	82437	82438	0.61
MTB_anc	82438	82449	0.6
MTB_anc	82449	82450	0.61
MTB_anc	82450	82451	0.62
MTB_anc	82451	82452	0.63
MTB_anc	82452	82453	0.64
MTB_anc	82453	82454	0.65
MTB_anc	82454	82455	0.66
MTB_anc	82455	82456	0.67
MTB_anc	82456	82457	0.68
MTB_anc	82457	82458	0.69
MTB_anc	82458	82459	0.7
MTB_anc	82459	82460	0.71
MTB_anc	82460	82461	0.72
MTB_anc	82461	82462	0.73
MTB_anc	82462	82463	0.74
MTB_anc	82463	82464	0.75
MTB_anc	82464	82465	0.76
MTB_anc	82465	82466	0.77
MTB_anc	82466	82467	0.78
MTB_anc	82467	82468	0.79
MTB_anc	82468	82469	0.8
MTB_anc	82469	82470	0.81
MTB_anc	82470	82471	0.82
MTB_anc	82471	82472	0.83
MTB_anc	82472	82473	0.84
MTB_anc	82473	82474	0.85
MTB_anc	82474	82475	0.86
MTB_anc	82475	82476	0.87
MTB_anc	82476	82477	0.88
MTB_anc	82477	82478	0.89
MTB_anc	82478	82479	0.9
MTB_anc	82479	82480	0.91
MTB_anc	82480	82481	0.92
MTB_anc	82481	82482	0.93
MTB_anc	82482	82483	0.94
MTB_anc	82483	82484	0.95
MTB_anc	82484	82485	0.96
MTB_anc	82485	82486	0.97
MTB_anc	82486	82487	0.98
MTB_anc	82487	82488	0.99
MTB_anc	82488	103703	1
MTB_anc	103703	103704	0.99
MTB_anc	103704	103705	0.98
MTB_anc	103705	103706	0.97
MTB_anc	103706	103707	0.96
MTB_anc	103707	103708	0.95
MTB_anc	103708	103709	0.94
MTB_anc	103709	103710	0.93
MTB_anc	103710	103711	0.92
MTB_anc	103711	103712	0.91
MTB_anc	103712	103713	0.9
MTB_anc	103713	103714	0.89
MTB_anc	103714	103715	0.88
MTB_anc	103715	103716	0.87
MTB_anc	103716	103717	0.86
MTB_anc	103717	103718	0.85
MTB_anc	103718	103719	0.84
MTB_anc	103719	103720	0.83
MTB_anc	103720	103721	0.82
MTB_anc	103721	103722	0.81
MTB_anc	103722	103723	0.8
MTB_anc	103723	103724	0.79
MTB_anc	103724	103725	0.78
MTB_anc	103725	103726	0.77
MTB_anc	103726	103727	0.76
MTB_anc	103727	103728	0.75
MTB_anc	103728	103729	0.74
MTB_anc	103729	103730	0.73
MTB_anc	103730	103731	0.72
MTB_anc	103731	103732	0.71
MTB_anc	103732	103733	0.7
MTB_anc	103733	103734	0.69
MTB_anc	103734	103735	0.68
MTB_anc	103735	103736	0.67
MTB_anc	103736	103737	0.66
MTB_anc	103737	103738	0.65
MTB_anc	103738	103739	0.64
MTB_anc	103739	103740	0.63
MTB_anc	103740	103741	0.62
MTB_anc	103741	103742	0.61
MTB_anc	103742	103743	0.6
MTB_anc	103743	103744	0.59
MTB_anc	103744	103745	0.58
MTB_anc	103745	103746	0.57
MTB_anc	103746	103747	0.56
MTB_anc	103747	103748	0.55
MTB_anc	103748	103749	0.54
MTB_anc	103749	103750	0.53
MTB_anc	103750	103751	0.52
MTB_anc	103751	103752	0.51
MTB_anc	103752	103773	0.5
MTB_anc	103773	103774	0.5
MTB_anc	103774	103775	0.49
MTB_anc	103775	103776	0.49
MTB_anc	103776	103777	0.48
MTB_anc	103777	103778	0.48
MTB_anc	103778	103779	0.47
MTB_anc	103779	103780	0.47
MTB_anc	103780	103781	0.46
MTB_anc	103781	103782	0.46
MTB_anc	103782	103783	0.45
MTB_anc	103783	103784	0.45
MTB_anc	103784	103785	0.44
MTB_anc	103785	103786	0.44
MTB_anc	103786	103787	0.43
MTB_anc	103787	103788	0.43
MTB_anc	103788	103789	0.42
MTB_anc	103789	103790	0.42
MTB_anc	103790	103791	0.41
MTB_anc	103791	103792	0.41
MTB_anc	103792	103793	0.41
MTB_anc	103793	103794	0.4
MTB_anc	103794	103795	0.4
MTB_anc	103795	103796	0.4
MTB_anc	103796	103797	0.39
MTB_anc	103797	103798	0.39
MTB_anc	103798	103799	0.39
MTB_anc	103799	103800	0.38
MTB_anc	103800	103801	0.38
MTB_anc	103801	103802	0.38
MTB_anc	103802	103803	0.37
MTB_anc	103803	103804	0.37
MTB_anc	103804	103805	0.37
MTB_anc	103805	103806	0.36
MTB_anc	103806	103807	0.36
MTB_anc	103807	103808	0.36
MTB_anc	103808	103809	0.35
MTB_anc	103809	103810	0.35
MTB_anc	103810	103811	0.35
MTB_anc	103811	103812	0.34
MTB_anc	103812	103813	0.34
MTB_anc	103813	103814	0.34
MTB_anc	103814	103815	0.33
MTB_anc	103815	103816	0.33
MTB_anc	103816	103817	0.33
MTB_anc	103817	103818	0.32
MTB_anc	103818	103819	0.32
MTB_anc	103819	103820	0.32
MTB_anc	103820	103821	0.31
MTB_anc	103821	103822	0.31
MTB_anc	103822	103826	0.31
MTB_anc	103826	103827	0.31
MTB_anc	103827	103828	0.31
MTB_anc	103828	103829	0.31
MTB_anc	103829	103830	0.31
MTB_anc	103830	103831	0.31
MTB_anc	103831	103832	0.32
MTB_anc	103832	103833	0.32
MTB_anc	103833	103834	0.32
MTB_anc	103834	103835	0.32
MTB_anc	103835	103836	0.32
MTB_anc	103836	103837	0.32
MTB_anc	103837	103838	0.33
MTB_anc	103838	103839	0.33
MTB_anc	103839	103840	0.33
MTB_anc	103840	103841	0.33
MTB_anc	103841	104737	0.33
MTB_anc	104737	104738	0.35
