#CHROM	FROM	TO	EBR
MTB_anc	1	9	0.92
MTB_anc	9	27	0.94
MTB_anc	27	34	0.97
MTB_anc	34	175	1
MTB_anc	175	186	0.97
MTB_anc	186	189	1
MTB_anc	189	212	0.97
MTB_anc	212	213	1
MTB_anc	213	245	0.97
MTB_anc	245	275	1
MTB_anc	275	276	0.97
MTB_anc	276	965	1
MTB_anc	965	972	0.97
MTB_anc	972	1595	1
MTB_anc	1595	1608	0.97
MTB_anc	1608	2202	1
MTB_anc	2202	2203	0.97
MTB_anc	2203	2383	1
MTB_anc	2383	2405	0.97
MTB_anc	2405	2408	1
MTB_anc	2408	2413	0.97
MTB_anc	2413	2417	1
MTB_anc	2417	2446	0.97
MTB_anc	2446	2670	1
MTB_anc	2670	2696	0.97
MTB_anc	2696	7570	1
MTB_anc	7570	7571	0.97
MTB_anc	7571	10392	1
MTB_anc	10392	10405	0.97
MTB_anc	10405	10447	1
MTB_anc	10447	10449	0.97
MTB_anc	10449	10455	0.92
MTB_anc	10455	10464	0.94
MTB_anc	10464	10469	0.97
MTB_anc	10469	11139	1
MTB_anc	11139	11156	0.97
MTB_anc	11156	13050	1
MTB_anc	13050	13052	0.97
MTB_anc	13052	17901	1
MTB_anc	17901	17909	0.97
MTB_anc	17909	17911	0.94
MTB_anc	17911	19620	1
MTB_anc	19620	19631	0.97
MTB_anc	19631	20457	1
MTB_anc	20457	20469	0.97
MTB_anc	20469	20488	1
MTB_anc	20488	20495	0.97
MTB_anc	20495	20653	1
MTB_anc	20653	20656	0.97
MTB_anc	20656	20706	1
MTB_anc	20706	20709	0.97
MTB_anc	20709	20734	1
MTB_anc	20734	20750	0.97
MTB_anc	20750	20754	1
MTB_anc	20754	20760	0.97
MTB_anc	20760	21794	1
MTB_anc	21794	21809	0.97
MTB_anc	21809	21812	0.94
MTB_anc	21812	21834	0.97
MTB_anc	21834	24313	1
MTB_anc	24313	24324	0.97
MTB_anc	24324	24699	1
MTB_anc	24699	24717	0.94
MTB_anc	24717	24721	1
MTB_anc	24721	24739	0.5
MTB_anc	24739	26470	1
MTB_anc	26470	26471	0.97
MTB_anc	26471	27662	1
MTB_anc	27662	27671	0.97
MTB_anc	27671	34525	1
MTB_anc	34525	34529	0.97
MTB_anc	34529	34538	0.94
MTB_anc	34538	34539	0.92
MTB_anc	34539	34558	0.94
MTB_anc	34558	34559	0.97
MTB_anc	34559	39017	1
MTB_anc	39017	39018	0.92
MTB_anc	39018	39022	1
MTB_anc	39022	39023	0.94
MTB_anc	39023	39030	1
MTB_anc	39030	39031	0.75
MTB_anc	39031	48546	1
MTB_anc	48546	48636	0.97
MTB_anc	48636	55549	1
MTB_anc	55549	55611	0.86
MTB_anc	55611	55629	0.89
MTB_anc	55629	55637	0.86
MTB_anc	55637	55638	0.83
MTB_anc	55638	55640	0.86
MTB_anc	55640	55643	0.89
MTB_anc	55643	55648	0.86
MTB_anc	55648	55661	0.97
MTB_anc	55661	58950	1
MTB_anc	58950	58953	0.97
MTB_anc	58953	61953	1
MTB_anc	61953	61956	0.97
MTB_anc	61956	61957	1
MTB_anc	61957	61960	0.97
MTB_anc	61960	65931	1
MTB_anc	65931	65957	0.97
MTB_anc	65957	71336	1
MTB_anc	71336	71338	0.97
MTB_anc	71338	71398	0.94
MTB_anc	71398	71460	0.97
MTB_anc	71460	71465	0.94
MTB_anc	71465	71528	0.89
MTB_anc	71528	71585	0.86
MTB_anc	71585	79505	1
MTB_anc	79505	79514	0.92
MTB_anc	79514	79556	1
MTB_anc	79556	79558	0.97
MTB_anc	79558	79567	0.94
MTB_anc	79567	79570	0.92
MTB_anc	79570	80248	0.83
MTB_anc	80248	80249	0.81
MTB_anc	80249	83036	0.83
MTB_anc	83036	83360	1
MTB_anc	83360	83365	0.97
MTB_anc	83365	84343	1
MTB_anc	84343	84345	0.97
MTB_anc	84345	84793	1
MTB_anc	84793	84795	0.97
MTB_anc	84795	86767	1
MTB_anc	86767	86770	0.97
MTB_anc	86770	86775	0.94
MTB_anc	86775	86778	0.97
MTB_anc	86778	86779	0.94
MTB_anc	86779	86780	0.89
MTB_anc	86780	86781	0.92
MTB_anc	86781	86783	0.89
MTB_anc	86783	86785	0.92
MTB_anc	86785	86786	0.94
MTB_anc	86786	86789	0.97
MTB_anc	86789	88769	1
MTB_anc	88769	88783	0.97
MTB_anc	88783	90126	1
MTB_anc	90126	90158	0.97
MTB_anc	90158	91418	1
MTB_anc	91418	91436	0.97
MTB_anc	91436	91787	1
MTB_anc	91787	91791	0.97
